munid,name_municipal_w_type,municipal_rate,education_rate
1950,Toronto C,0.00506079,0.00153000
1813,Oshawa C,0.00593639,0.00153000
1801,Pickering C,0.00362086,0.00153000
1805,Ajax T,0.00384696,0.00153000
1817,Clarington M,0.00425622,0.00153000
1809,Whitby T,0.00416872,0.00153000
1839,Brock Tp,0.00482247,0.00153000
1820,Scugog Tp,0.00378807,0.00153000
1829,Uxbridge Tp,0.00314717,0.00153000
2810,Haldimand Co,0.01109941,0.00153000
3310,Norfolk Co,0.01265740,0.00153000
2402,Burlington C,0.00367001,0.00153000
2415,Halton Hills T,0.00405531,0.00153000
2409,Milton T,0.00293692,0.00153000
2401,Oakville T,0.00323590,0.00153000
2518,Hamilton C,0.00875632,0.00153000
2725,Niagara Falls C,0.00542281,0.00153000
2711,Port Colborne C,0.01027777,0.00153000
2629,St. Catharines C,0.00638506,0.00153000
2719,Welland C,0.00777709,0.00153000
2731,Thorold C,0.00632284,0.00153000
2703,Fort Erie T,0.00700915,0.00153000
2615,Grimsby T,0.00305434,0.00153000
2622,Lincoln T,0.00499404,0.00153000
2627,Niagara-on-the-Lake T,0.00244121,0.00153000
2732,Pelham T,0.00584674,0.00153000
2714,Wainfleet Tp,0.00784227,0.00153000
2602,West Lincoln Tp,0.00398676,0.00153000
0614,Ottawa C,0.00731649,0.00153000
2110,Brampton C,0.00468184,0.00153000
2105,Mississauga C,0.00327862,0.00153000
2124,Caledon T,0.00396190,0.00153000
5307,Greater Sudbury C,0.01209887,0.00153000
3006,Cambridge C,0.00468260,0.00153000
3012,Kitchener C,0.00372763,0.00153000
3016,Waterloo C,0.00364884,0.00153000
3001,North Dumfries Tp,0.00269518,0.00153000
3024,Wellesley Tp,0.00352432,0.00153000
3018,Wilmot Tp,0.00287036,0.00153000
3029,Woolwich Tp,0.00255827,0.00153000
1928,Vaughan C,0.00193201,0.00153000
1946,Aurora T,0.00301412,0.00153000
1936,Markham C,0.00160816,0.00153000
1948,Newmarket T,0.00339362,0.00153000
1938,Richmond Hill C,0.00189580,0.00153000
1944,Whitchurch-Stouffville T,0.00277358,0.00153000
1954,East Gwillimbury T,0.00319126,0.00153000
1970,Georgina T,0.00566957,0.00153000
1949,King Tp,0.00327122,0.00153000
4418,Bracebridge T,0.00499873,0.00153000
4402,Gravenhurst T,0.00483435,0.00153000
4442,Huntsville T,0.00427800,0.00153000
4465,Georgian Bay Tp,0.00174593,0.00153000
4427,Lake of Bays Tp,0.00194157,0.00153000
4453,Muskoka Lakes Tp,0.00130109,0.00153000
3242,Woodstock C,0.01044900,0.00153000
3218,Ingersoll T,0.00917585,0.00153000
3204,Tillsonburg T,0.00827083,0.00153000
3245,Blandford-Blenheim Tp,0.00472712,0.00153000
3238,East Zorra-Tavistock Tp,0.00517220,0.00153000
3202,Norwich Tp,0.00582481,0.00153000
3211,South-West Oxford Tp,0.00532225,0.00153000
3227,Zorra Tp,0.00588043,0.00153000
2906,Brantford C,0.01231690,0.00153000
2920,Brant Co,0.00905000,0.00153000
4102,South Bruce Peninsula T,0.00591210,0.00153000
4110,Saugeen Shores T,0.00694870,0.00153000
4103,Arran-Elderslie M,0.00838410,0.00153000
4104,Brockton M,0.00956541,0.00153000
4109,Northern Bruce Peninsula M,0.00467021,0.00153000
4107,Huron-Kinloss Tp,0.00691805,0.00153000
4108,Kincardine M,0.00820810,0.00153000
4105,South Bruce M,0.00870520,0.00153000
2214,Orangeville T,0.00852192,0.00153000
2221,Shelburne T,0.00786584,0.00153000
2212,Mono T,0.00384839,0.00153000
2208,Amaranth Tp,0.00582414,0.00153000
2201,East Garafraxa Tp,0.00547281,0.00153000
2219,Melancthon Tp,0.00511836,0.00153000
2216,Mulmur Tp,0.00501741,0.00153000
2204,Grand Valley T,0.00735320,0.00153000
3421,St. Thomas C,0.01468847,0.00153000
3411,Aylmer T,0.00906030,0.00153000
3424,Southwold Tp,0.00550683,0.00153000
3401,Bayham M,0.00715677,0.00153000
3418,Central Elgin M,0.00835969,0.00153000
3429,Dutton-Dunwich M,0.00893117,0.00153000
3408,Malahide Tp,0.00721319,0.00153000
3434,West Elgin M,0.00640050,0.00153000
3739,Windsor C,0.01786661,0.00153000
3734,LaSalle T,0.01049600,0.00153000
3729,Amherstburg T,0.01015355,0.00153000
3754,Essex T,0.00000000,0.00153000
3711,Kingsville T,0.00763028,0.00153000
3751,Lakeshore M,0.00664010,0.00153000
3706,Leamington M,0.01088422,0.00153000
3744,Tecumseh T,0.00805439,0.00153000
3701,Pelee Tp,0.01598776,0.00153000
1011,Kingston C,0.01084408,0.00153000
1039,Central Frontenac Tp,0.00979250,0.00153000
1001,Frontenac Islands Tp,0.00000000,0.00153000
1042,North Frontenac Tp,0.00720300,0.00153000
1029,South Frontenac Tp,0.00616904,0.00153000
4259,Owen Sound C,0.01333270,0.00153000
4229,Hanover T,0.00978715,0.00153000
4242,The Blue Mountains T,0.00389113,0.00153000
4210,Meaford M,0.00900988,0.00153000
4204,Chatsworth Tp,0.00757983,0.00153000
4207,Southgate Tp,0.00894087,0.00153000
4203,Georgian Bluffs Tp,0.00625130,0.00153000
4208,Grey Highlands M,0.00684456,0.00153000
4205,West Grey M,0.00748728,0.00153000
4624,Dysart et al M,0.00316071,0.00153000
4616,Minden Hills Tp,0.00419856,0.00153000
4601,Highlands East M,0.00525422,0.00153000
4621,Algonquin Highlands Tp,0.00354518,0.00153000
1208,Belleville C,0.00982485,0.00153000
1204,Quinte West C,0.01198105,0.00153000
1202,Deseronto T,0.01326003,0.00153000
1262,Bancroft T,0.01448794,0.00153000
1258,Faraday Tp,0.00799601,0.00153000
1251,Limerick Tp,0.00904400,0.00153000
1236,Madoc Tp,0.00898631,0.00153000
1248,Tudor and Cashel Tp,0.00788800,0.00153000
1201,Tyendinaga Tp,0.00786514,0.00153000
1254,Wollaston Tp,0.00955105,0.00153000
1230,Centre Hastings M,0.01101599,0.00153000
1220,Stirling-Rawdon Tp,0.01112675,0.00153000
1231,Tweed M,0.00723182,0.00153000
1290,Hastings Highlands M,0.00811621,0.00153000
1270,Carlow-Mayo Tp,0.00944836,0.00153000
1241,Marmora and Lake M,0.00821073,0.00153000
4028,Goderich T,0.00981257,0.00153000
4020,Bluewater M,0.00409275,0.00153000
4010,South Huron M,0.00000000,0.00153000
4040,Huron East M,0.00675867,0.00153000
4046,Howick Tp,0.00812774,0.00153000
4030,Central Huron M,0.00718502,0.00153000
4070,Ashfield-Colborne-Wawanosh Tp,0.00470019,0.00153000
4060,Morris-Turnberry M,0.00883724,0.00153000
4050,North Huron Tp,0.01344343,0.00153000
3650,Chatham-Kent M,0.01429462,0.00153000
3829,Sarnia C,0.00909688,0.00153000
3845,Lambton Shores M,0.00515136,0.00153000
3819,Petrolia T,0.00984468,0.00153000
3835,Plympton-Wyoming T,0.00689406,0.00153000
3818,Oil Springs V,0.01036498,0.00153000
3831,Point Edward V,0.00707336,0.00153000
3816,Enniskillen Tp,0.00610240,0.00153000
3806,Dawn-Euphemia Tp,0.00752022,0.00153000
3841,Warwick Tp,0.00469369,0.00153000
3815,Brooke-Alvinston M,0.00808704,0.00153000
3805,St. Clair Tp,0.00604725,0.00153000
0904,Smiths Falls T,0.01735537,0.00153000
0928,Carleton Place T,0.00726151,0.00153000
0921,Perth T,0.00910543,0.00153000
0931,Mississippi Mills M,0.00481672,0.00153000
0924,Beckwith Tp,0.00309085,0.00153000
0901,Montague Tp,0.00759033,0.00153000
0940,Lanark Highlands Tp,0.00490404,0.00153000
0919,Drummond-North Elmsley Tp,0.00318841,0.00153000
0911,Tay Valley Tp,0.00411969,0.00153000
0802,Brockville C,0.01430607,0.00153000
0814,Gananoque T,0.01394344,0.00153000
0708,Prescott T,0.01469939,0.00153000
0842,Westport V,0.01004164,0.00153000
0714,Merrickville-Wolford V,0.00850435,0.00153000
0706,Augusta Tp,0.00663755,0.00153000
0806,Front of Yonge Tp,0.00550100,0.00153000
0719,North Grenville M,0.00627976,0.00153000
0831,Rideau Lakes Tp,0.00512625,0.00153000
0819,Athens Tp,0.00452920,0.00153000
0701,Edwardsburgh-Cardinal Tp,0.00710429,0.00153000
0812,Leeds and the Thousand Islands Tp,0.00477906,0.00153000
0801,Elizabethtown-Kitley Tp,0.00628870,0.00153000
1121,Greater Napanee T,0.00560000,0.00153000
1134,Addington Highlands Tp,0.00657793,0.00153000
1104,Loyalist Tp,0.00825088,0.00153000
1124,Stone Mills Tp,0.00652946,0.00153000
3936,London C,0.01308166,0.00153000
3902,Newbury V,0.00979506,0.00153000
3939,Middlesex Centre M,0.00645992,0.00153000
3958,Lucan Biddulph Tp,0.00656546,0.00153000
3946,Adelaide Metcalfe Tp,0.00713902,0.00153000
3954,North Middlesex M,0.00824711,0.00153000
3906,Southwest Middlesex M,0.00941245,0.00153000
3916,Strathroy-Caradoc M,0.00735697,0.00153000
3926,Thames Centre M,0.00468966,0.00153000
1421,Cobourg T,0.00909330,0.00153000
1408,Brighton M,0.00691483,0.00153000
1435,Trent Hills M,0.00825998,0.00153000
1423,Port Hope M,0.00725566,0.00153000
1419,Hamilton Tp,0.00550290,0.00153000
1450,Alnwick-Haldimand Tp,0.00586914,0.00153000
1411,Cramahe Tp,0.00802835,0.00153000
3111,Stratford C,0.01352611,0.00153000
3116,St. Marys T,0.01309180,0.00153000
3140,North Perth M,0.00791548,0.00153000
3110,Perth East Tp,0.00422091,0.00153000
3120,Perth South Tp,0.00469196,0.00153000
3130,West Perth M,0.00636055,0.00153000
1514,Peterborough C,0.01384656,0.00153000
1501,Asphodel-Norwood Tp,0.00725064,0.00153000
1536,North Kawartha Tp,0.00373014,0.00153000
1509,Cavan Monaghan Tp,0.00725803,0.00153000
1522,Douro-Dummer Tp,0.00402927,0.00153000
1542,Trent Lakes M,0.00396600,0.00153000
1531,Havelock-Belmont-Methuen Tp,0.00504320,0.00153000
1506,Otonabee-South Monaghan Tp,0.00612033,0.00153000
1516,Selwyn Tp,0.00246108,0.00153000
0316,Clarence-Rockland C,0.00737149,0.00153000
0208,Hawkesbury T,0.01181814,0.00153000
0302,Casselman M,0.00656974,0.00153000
0201,East Hawkesbury Tp,0.00508439,0.00153000
0306,Russell Tp,0.00551060,0.00153000
0231,Alfred and Plantagenet Tp,0.00721667,0.00153000
0209,Champlain Tp,0.00669657,0.00153000
0212,The Nation M,0.00761108,0.00153000
1350,Prince Edward Co,0.00993486,0.00153000
4764,Pembroke C,0.01553824,0.00153000
4702,Arnprior T,0.00913245,0.00153000
4796,Deep River T,0.01072964,0.00153000
4748,Renfrew T,0.01081286,0.00153000
4779,Petawawa T,0.00457279,0.00153000
4792,Laurentian Hills T,0.00742021,0.00153000
4798,"Head, Clara and Maria Tp",0.00208325,0.00153000
4746,Horton Tp,0.00573182,0.00153000
4701,McNab-Braeside Tp,0.00677188,0.00153000
4719,"Brudenell, Lyndoch and Raglan Tp",0.00588769,0.00153000
4769,North Algona Wilberforce Tp,0.00705164,0.00153000
4742,Admaston-Bromley Tp,0.00742786,0.00153000
4766,Laurentian Valley Tp,0.00460686,0.00153000
4731,"Killaloe, Hagarty and Richards Tp",0.00711078,0.00153000
4726,Madawaska Valley Tp,0.00548456,0.00153000
4738,Bonnechere Valley Tp,0.00691418,0.00153000
4758,Whitewater Region Tp,0.00709743,0.00153000
4706,Greater Madawaska Tp,0.00450282,0.00153000
4342,Barrie C,0.01138176,0.00153000
4352,Orillia C,0.01302684,0.00153000
4331,Collingwood T,0.00737631,0.00153000
4374,Midland T,0.01145502,0.00153000
4372,Penetanguishene T,0.00906954,0.00153000
4364,Wasaga Beach T,0.00536681,0.00153000
4316,Innisfil T,0.00381734,0.00153000
4312,Bradford West Gwillimbury T,0.00328885,0.00153000
4324,New Tecumseth T,0.00525998,0.00153000
4321,Essa Tp,0.00300988,0.00153000
4368,Tiny Tp,0.00364578,0.00153000
4301,Adjala-Tosorontio Tp,0.00371124,0.00153000
4329,Clearview Tp,0.00752836,0.00153000
4346,Oro-Medonte Tp,0.00498800,0.00153000
4348,Ramara Tp,0.00567640,0.00153000
4351,Severn Tp,0.00393552,0.00153000
4341,Springwater Tp,0.00431786,0.00153000
4353,Tay Tp,0.00586829,0.00153000
0402,Cornwall C,0.01621781,0.00153000
0511,North Dundas Tp,0.00462946,0.00153000
0506,South Dundas M,0.00561165,0.00153000
0111,North Glengarry Tp,0.00542645,0.00153000
0101,South Glengarry Tp,0.00519759,0.00153000
0411,North Stormont Tp,0.00369997,0.00153000
0406,South Stormont Tp,0.00511895,0.00153000
1651,Kawartha Lakes C,0.00794495,0.00153000
2308,Guelph C,0.01076079,0.00153000
2316,Erin T,0.00281171,0.00153000
2341,Minto T,0.00535165,0.00153000
2301,Puslinch Tp,0.00183714,0.00153000
2326,Centre Wellington Tp,0.00317353,0.00153000
2311,Guelph-Eramosa Tp,0.00273795,0.00153000
2332,Mapleton Tp,0.00492086,0.00153000
2349,Wellington North Tp,0.00515743,0.00153000
5761,Sault Ste. Marie C,0.01498196,0.00153000
5741,Elliot Lake C,0.01982660,0.00153000
5738,Blind River T,0.01989219,0.00153000
5721,Bruce Mines T,0.01757203,0.00153000
5728,Thessalon T,0.01663323,0.00153000
5739,Spanish T,0.01483888,0.00153000
5706,Hilton Beach V,0.01710468,0.00153000
5704,Hilton Tp,0.00865208,0.00153000
5701,Jocelyn Tp,0.00838317,0.00153000
5716,Johnson Tp,0.01727844,0.00153000
5711,Laird Tp,0.01292264,0.00153000
5751,"Macdonald, Meredith & Aberdeen Additional Tp",0.01490762,0.00153000
5776,Wawa M,0.02681504,0.00153000
5719,Plummer Additional Tp,0.01504239,0.00153000
5766,Prince Tp,0.00933477,0.00153000
5708,St. Joseph Tp,0.01040361,0.00153000
5714,Tarbutt Tp,0.01079940,0.00153000
5796,Hornepayne Tp,0.04965962,0.00153000
5740,The North Shore Tp,0.01395655,0.00153000
5791,White River Tp,0.03465842,0.00153000
5779,Dubreuilville Tp,0.03324624,0.00153000
5724,Huron Shores M,0.01638533,0.00153000
5627,Timmins C,0.01780103,0.00153000
5676,Hearst T,0.01867946,0.00153000
5631,Iroquois Falls T,0.02286991,0.00153000
5666,Kapuskasing T,0.02287181,0.00153000
5648,Smooth Rock Falls T,0.02167065,0.00153000
5639,Cochrane T,0.01640750,0.00153000
5665,Moosonee T,0.02135166,0.00153000
5614,Black River-Matheson Tp,0.01706057,0.00153000
5656,Moonbeam Tp,0.01799553,0.00153000
5652,Fauquier-Strickland Tp,0.01801315,0.00153000
5670,Val Rita-Harty Tp,0.02445143,0.00153000
5677,Mattice-Val Côté Tp,0.01655567,0.00153000
5673,Opasatika Tp,0.01837334,0.00153000
6026,Dryden C,0.01661285,0.00153000
6016,Kenora C,0.01309035,0.00153000
6034,Sioux Lookout M,0.01981987,0.00153000
6041,Red Lake M,0.01444026,0.00153000
6001,Ignace Tp,0.02676724,0.00153000
6021,Machin M,0.01094381,0.00153000
6042,Ear Falls Tp,0.02249873,0.00153000
6049,Pickle Lake Tp,0.03186146,0.00153000
6008,Sioux Narrows-Nestor Falls Tp,0.00724338,0.00153000
5126,Gore Bay T,0.01765430,0.00153000
5119,Northeastern Manitoulin and The Islands M,0.00590747,0.00153000
5111,Assiginack Tp,0.01514052,0.00153000
5121,Billings Tp,0.01145772,0.00153000
5128,Burpee and Mills Tp,0.01069932,0.00153000
5134,Cockburn Island Tp,0.01116096,0.00153000
5101,Tehkummah Tp,0.01698760,0.00153000
5104,Central Manitoulin M,0.01320045,0.00153000
5124,Gordon-Barrie Island M,0.00876269,0.00153000
4844,North Bay C,0.01511320,0.00153000
4821,Mattawa T,0.01980839,0.00153000
4869,Temagami M,0.00883200,0.00153000
4852,West Nipissing M,0.01159454,0.00153000
4801,South Algonquin Tp,0.00910631,0.00153000
4826,Bonfield Tp,0.01231002,0.00153000
4822,Calvin M,0.01186179,0.00153000
4831,Chisholm Tp,0.01221473,0.00153000
4834,East Ferris M,0.00962562,0.00153000
4819,Mattawan M,0.01478327,0.00153000
4816,Papineau-Cameron Tp,0.01103877,0.00153000
4918,Kearney T,0.00942763,0.00153000
4932,Parry Sound T,0.01516645,0.00153000
4959,Powassan M,0.01151166,0.00153000
4922,Burk's Falls V,0.01690585,0.00153000
4956,South River V,0.01810218,0.00153000
4948,Sundridge V,0.01722425,0.00153000
4919,Armour Tp,0.00800998,0.00153000
4936,Carling Tp,0.00557156,0.00153000
4939,Whitestone M,0.00529680,0.00153000
4966,Callander M,0.01142031,0.00153000
4951,Joly Tp,0.01278632,0.00153000
4954,Machar Tp,0.00888010,0.00153000
4931,McDougall M,0.00616479,0.00153000
4928,McKellar Tp,0.00569540,0.00153000
4912,McMurrich-Monteith Tp,0.00804200,0.00153000
4971,Nipissing Tp,0.00790625,0.00153000
4914,Perry Tp,0.00704034,0.00153000
4924,Ryerson Tp,0.01217081,0.00153000
4946,Strong Tp,0.00942379,0.00153000
4905,The Archipelago Tp,0.00223769,0.00153000
4944,Magnetawan M,0.00770151,0.00153000
4903,Seguin Tp,0.00387224,0.00153000
5912,Fort Frances T,0.01946508,0.00153000
5942,Rainy River T,0.02664551,0.00153000
5911,Alberton Tp,0.00914971,0.00153000
5901,Atikokan T,0.03538599,0.00153000
5924,Chapple Tp,0.01303267,0.00153000
5919,Emo Tp,0.01581319,0.00153000
5916,La Vallee Tp,0.01417836,0.00153000
5931,Morley Tp,0.01154545,0.00153000
5934,Dawson Tp,0.00978143,0.00153000
5946,Lake of the Woods Tp,0.00534000,0.00153000
5226,Espanola T,0.01566927,0.00153000
5201,French River M,0.00894342,0.00153000
5136,Killarney M,0.00847388,0.00153000
5208,Markstay-Warren M,0.01301827,0.00153000
5204,St.-Charles M,0.01336591,0.00153000
5228,Baldwin Tp,0.01117112,0.00153000
5292,Chapleau Tp,0.03152559,0.00153000
5231,Nairn and Hyman Tp,0.01385806,0.00153000
5218,Sables-Spanish Rivers Tp,0.01397616,0.00153000
5804,Thunder Bay C,0.01352547,0.00153000
5859,Marathon T,0.02781295,0.00153000
5876,Greenstone M,0.02441003,0.00153000
5819,Conmee Tp,0.01401840,0.00153000
5834,Dorion Tp,0.01403577,0.00153000
5812,Gillies Tp,0.01606700,0.00153000
5801,Neebing M,0.00827169,0.00153000
5844,Nipigon Tp,0.02039035,0.00153000
5816,O'Connor Tp,0.01202181,0.00153000
5851,Schreiber Tp,0.04855068,0.00153000
5828,Shuniah M,0.00649975,0.00153000
